SEA.CODE,Pop70Less5Yrs,Pop70,PopAtRisk82
95,8438,101365,15693
96,26438,309103,47653
97,20155,198041,23238
98,14591,166709,19257
99,23275,246393,26739
100,600412,6987058,652220
101,27252,315224,35993
102,13122,162215,18973
103,46859,536447,52520
104,10804,125061,14215
105,25048,305403,36452
106,2546,25481,3224
107,24999,327817,43738
108,19992,262384,37366
109,22286,262257,32290
110,57499,751477,86311
111,11874,152151,22507
112,8538,116985,17991
113,6866,98285,15392
114,11769,165575,26025
115,8064,122394,15573
116,58238,634879,58133
117,20138,244643,26967
118,26365,281344,28098
119,70873,794197,68053
120,12636,169027,19754
121,11453,131858,15748
122,8414,114742,12470
123,11484,129480,12603
124,21229,232160,26176
125,14256,164885,22988
126,23307,252500,31425
127,44925,500071,55724
128,37553,418087,53012
129,24358,305873,42943
130,21799,259062,31691
131,15666,175261,23503
132,33515,398193,47199
133,8443,103329,12094
134,7639,87260,10181
135,24959,287164,30273
136,13950,143147,15431
137,11639,133011,13927
138,15711,163523,17293
139,23542,311407,43812
140,29265,390856,50862
141,18327,257600,37831
142,23702,295216,40244
143,18902,241482,33089
144,37193,416782,47701
145,30664,349538,37062
146,36075,407511,43082
147,13089,155485,16777
148,8331,102290,13362
149,15037,210331,30271
150,19636,275330,38743
151,3553,58599,9536
152,17013,236967,27459
153,13605,185620,21157
154,7379,111420,17501
155,10795,155268,21943
156,59048,697168,66755
157,20013,218352,23474
158,4065,52471,6664
159,3192,36043,4390
160,15175,175259,16468
161,11680,168135,23324
162,10221,117899,14065
163,28797,353427,44360
164,15695,198692,23565
165,12907,163390,25629
166,30975,367797,47769
167,10407,123044,15502
168,19642,218408,30352
169,30842,346036,45386
170,26941,296694,25592
171,90631,986652,78764
172,26411,286255,23117
173,13752,145525,14410
174,11133,115822,10428
175,14515,163527,14736
176,16118,163131,13510
177,28409,284704,26705
178,15843,194641,20337
179,29414,302541,33037
180,50592,445169,37910
181,15191,153996,16788
182,9310,118734,11333
183,16029,193366,25316
184,8807,94188,10044
185,20980,249312,32615
186,10732,138100,22292
187,28281,323169,44877
188,150743,1829819,165472
189,112221,1192041,100632
190,11469,133201,19264
191,8239,105694,14733
192,27104,305849,38073
193,13375,117161,12247
194,20483,259728,33263
195,45804,583485,67898
196,52295,638378,78180
197,275478,3380882,365851
198,33457,334835,42672
199,36995,445269,58637
200,11692,149716,19118
201,4412,59336,7952
202,7794,107133,26797
203,22396,220419,20447
204,37367,411179,43776
205,11369,117582,13320
206,44976,446131,37760
207,35335,379225,33987
208,377886,4207369,364218
209,17027,201553,19449
210,12543,143337,15822
211,19768,234518,17881
212,13309,178885,25801
213,10366,126710,17362
214,9882,120542,19336
215,28630,341322,62289
216,28567,306813,39153
217,52842,573783,66233
218,21598,221737,27582
219,23051,240128,28617
220,37173,428611,53373
221,16664,220977,27889
222,168401,1816660,183685
223,11891,151048,19998
224,16079,211122,33459
225,10255,133932,22595
226,12888,143789,21794
227,12720,169815,26202
228,46063,505344,63033
229,22751,282641,36882
230,13743,180053,25404
231,19794,215608,15894
232,34821,312434,14691
